covidence;author;year;country;location;latitude;longitude;climate;expe_t;mat;map;map_units;soil;type;ph;om;om_units;oc;oc_units;texture;clay;clay_units;sand;sand_units;ec;ec_units;cec ;cec_units;N;N_units;N_types;P;P_units;P_type;as_s;cd_s;cu_s;pb_s;zn_s;se_s;ni_s;co_s;mn_s;cr_s;hg_s;units_s;n_s;fraction_s;Bioavailable;sp;name;cultivar;p_density;units_density;ba_total;ba_stem;ba_leaf;br;units_b;as_ba;cd_ba;cu_ba;pb_ba;zn_ba;se_ba;ni_ba;co_ba;mn_ba;cr_ba;hg_ba;units_te_ba;n_te_ba;organs_ba;as_br;cd_br;cu_br;pb_br;zn_br;se_br;ni_br;co_br;mn_br;cr_br;hg_br;units_te_br;n_te_br;organs_br;as_ba_1;cd_ba_1;cu_ba_1;pb_ba_1;zn_ba_1;se_ba_1;ni_ba_1;co_ba_1;mn_ba_1;cr_ba_1;hg_ba_1;units_te_ba_1;n_te_ba_1;organs_ba_1;as_ba_2;cd_ba_2;cu_ba_2;pb_ba_2;zn_ba_2;se_ba_2;ni_ba_2;co_ba_2;mn_ba_2;cr_ba_2;hg_ba_2;units_te_ba_2;n_te_ba_2;organs_ba_2;as_ba_3;cd_ba_3;cu_ba_3;pb_ba_3;zn_ba_3;se_ba_3;ni_ba_3;co_ba_3;mn_ba_3;cr_ba_3;hg_ba_3;units_te_ba_3;n_te_ba_3;organs_ba_3;comments
7473;Gsecka;2017;Poland;Poznan;"51°40'48""N";"16°02'41""E";Continental;;;;;Site G;;8.12;;;1.63;%;Sandy loam;;;;;143.41;mS m-1;;;0.3;%;Total;37.11;mg kg-1;Total;;1.1;81.6;47.81;21.6;;11.28;8.26;;14.3;;mg kg-1;4;Total;;Heart-leaved willow;Salix eriocephala Michx;;;;;;;;;;;21.88;0.5;117.89; ;;;;;;mg kg-1;4;leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;West side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;3.016089097;5.964512648;11.17931462;101.7727966;;36.60609953; ; ; ; ;ppm; ;Total; ;Mastic tree;Pistacia lentiscus; ; ; ; ; ; ; ; ; ;1.491929573;0.123862847;15.4016608;23.91321768;;9.750847483; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;West side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;3.976502481;11.62330656;10.1237935;105.048329;;32.93282311; ; ; ; ;ppm; ;Total; ;Turpentine tree;Pistacia terebinthus; ; ; ; ; ; ; ; ; ;2.254711142;0.150838946;20.27121499;30.59136985;;9.308791805; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;West side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;2.071353774;5.241577748;0;146.3988968;;36.45267468; ; ; ; ;ppm; ;Total; ;Spiny Caper;Capparis spinosa; ; ; ; ; ; ; ; ; ;2.752170301;0.233137684;18.63609197;110.099363;;8.028190717; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;West side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;1.008416437;0.760700156;0;42.97842158;;28.15702855; ; ; ; ;ppm; ;Total; ;Jute;Corchorus olitorius; ; ; ; ; ; ; ; ; ;0.988851247;0.587920262;18.93845819;49.23394367;;11.77701305; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;Middle side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;3.994030201;5.425008992;59.21190118;75.40332884;;19.9452309; ; ; ; ;ppm; ;Total; ;River red gum;Eucalyptus camadulensis; ; ; ; ; ; ; ; ; ;2.002133655;0.347173009;10.01770368;99.5724989;;15.81191025; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;South side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;5.030543839;1.927226951;11.04967679;143.0044144;;82.2294772; ; ; ; ;ppm; ;Total; ;Olive tree;Olea europaea; ; ; ; ; ; ; ; ; ;2.749360718;0.128010242;25.4063697;29.74998998;;7.795870449; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;South side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;5.034683552;3.511269632;0;161.509961;;89.03190702; ; ; ; ;ppm; ;Total; ;Lemon;Citrus x limon; ; ; ; ; ; ; ; ; ;4.520457026;0.27886722;28.05920546;26.97944629;;14.58678074; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;South side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;6.041338409;4.294748831;0;142.9669671;;73.95969922; ; ; ; ;ppm; ;Total; ;Grapevine;Vitis vinifera; ; ; ; ; ; ; ; ; ;3.24238155;0.320737876;18.92007534;49.39620978;;10.24678984; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;South side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;7.986386902;3.446828917;29.49650226;115.4828932;;64.9825613; ; ; ; ;ppm; ;Total; ;Jujube;Ziziphus lotus; ; ; ; ; ; ; ; ; ;3.975845725;0.236167086;5.281583642;32.28494731;;9.253716449; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;East side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;3.01846723;5.587759261;67.05676083;81.29355996;;28.17397665; ; ; ; ;ppm; ;Total; ;Mesquite;Prosopis farcta; ; ; ; ; ; ; ; ; ;2.242862029;0.427542308;22.21219064;46.89250371;;11.34776866; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;South side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;2.045987023;2.593214243;0;70.66955671;;25.48012167; ; ; ; ;ppm; ;Total; ;Tamarisk;Tamarix tetragyna; ; ; ; ; ; ; ; ; ;1.492743945;0.301172991;4.707911871;43.68925037;;9.575451624; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;South side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;3.993501727;2.145126484;0;149.6391848;;76.82571115; ; ; ; ;ppm; ;Total; ;Sticky hop bush;Dodonea viscosa; ; ; ; ; ; ; ; ; ;2.758970308;0.354764545;15.25459798;51.92996514;;9.269037172; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;East side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;3.039165794;7.619290253;45.12954928;149.6435904;;63.85328302; ; ; ; ;ppm; ;Total; ;Giant reed;Arundo donax; ; ; ; ; ; ; ; ; ;1.986375556;0.34147485;13.84450642;41.03169197;;15.77123109; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;East side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;2.069592194;28.46631099;21.76427876;218.8130545;;62.21823793; ; ; ; ;ppm; ;Total; ;Sticky Inula;Inula viscosa; ; ; ; ; ; ; ; ; ;2.251738684;1.844292373;10.40691304;51.1294523;;10.06267702; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;East side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;5.021559781;14.95653998;35.2784911;116.9719718;;36.22878143; ; ; ; ;ppm; ;Total; ;Aleppo Pine;Pinus bruttia; ; ; ; ; ; ; ; ; ;2.494380833;0.24743718;14.89359679;36.21779719;;8.769528785; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8521;Gucel;2009;Cyprus;Lefke; ; ;Mediterranean; ; ;450;mm;East side of tailing pond;Tailing ponds;2.34;2.65;%; ; ;Silty clay loam; ; ;;;;;;;;;;;;; ;5.020678991;5.012588419;0;43.61943027;;25.37129706; ; ; ; ;ppm; ;Total; ;Silver wattle;Acacia cyanophylla; ; ; ; ; ; ; ; ; ;3.238716875;0;29.85058273;50.44553067;;8.601132912; ; ; ; ;ppm; ;stems + leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5760;Hao;2003;China;Jiuhua;;;Humid subtropical;;;;;CK;Mine tailings;8.6;;;;;;;;;;;;;;;;;;;;;0.77;278.81;5.22;130.34;;;;;;;mg kg-1;4;Total;DTPA-extractable;Ryegrass;Lolium perenne;;;;0.715231022;;;0.635759;g pot -1;;;12.32; ;36.5; ;;;;;;mg kg-1;4;stems+leaves;;;709.48;;282.12;;;;;;;mg kg-1;4;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616;Hattab-Hambli;2016;France;Gironde;44°43'N;0°30′E;Oceanic;;;;;UNT 2010;Fluviosol;6.48;;;0.59;%;Sandy;5.9;%;85.8;%;839;uS cm-1;3.5;cmol kg-1;;;;;;;2.739411793;;810.8147324;;38.69248386;;;;;1.810244013;;ug.L-1;3;Total;;Dwarf bean;Phaseolus vulgaris;;4;plants/pot;0.12;;;;g ;1.34;;173.1; ;40.4; ;;;;1.47;;mg kg-1;3;leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616;Hattab-Hambli;2016;France;Gironde;44°43'N;0°30′E;Oceanic;;;;;UNT 2011;Fluviosol;5.88;;;0.72;%;Sandy;5.9;%;85.8;%;1339;uS cm-1;3.5;cmol kg-1;;;;;;;1.339643599;;325.9534231;;17.10264418;;;;;1.041311881;;ug.L-1;3;Total;;Dwarf bean;Phaseolus vulgaris;;4;plants/pot;0.13;;;;g ;0.18;;86.1; ;33.3; ;;;;0.67;;mg kg-1;3;leaves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2187;Herrero;2003;Spain;Monteprincipe;40°25'N;3°51′W;Mediterranean;;;;;Low level;Mining spill;3.36;;;0.84;%;Sandy ;10;%;75%;;;;16.48;meq 100 g-1;1;mg g-1;Total;2.5;ug g-1;Total;;0.055;12;125;200;;;;;;;ug g-1;2;DTPA available;;Oil rape;Brassica napus;var. oleifera;30;plants/pot;57.76569359;;66.07798849;29.39066695;g ;;4.3;36;72;1110; ;;;;;;ug g;2;leaves;;10;62;136;669;;;;;;;ug g;2;roots;;4.7;13;32;575;;;;;;;ug g;2;shoots;;4.6;30;70;519;;;;;;;ug g;2;flowers;;;;;;;;;;;;;;;
2187;Herrero;2003;Spain;Monteprincipe;40°25'N;3°51′W;Mediterranean;;;;;High level;Mining spill;3.36;;;0.84;%;Sandy ;10;%;75%;;;;16.48;meq 100 g-1;1;mg g-1;Total;2.5;ug g-1;Total;;0.135;25;350;400;;;;;;;ug g-1;2;DTPA available;;Oil rape;Brassica napus;var. oleifera;30;plants/pot;45.28344343;;49.94587684;26.62757298;g ;;13;92;244;6041; ;;;;;;ug g;2;leaves;;14;98;303;3452;;;;;;;ug g;2;roots;;11;66;29;4333;;;;;;;ug g;2;shoots;;12;87;82;3332;;;;;;;ug g;2;flowers;;;;;;;;;;;;;;;
2187;Herrero;2003;Spain;Monteprincipe;40°25'N;3°51′W;Mediterranean;;;;;Low level;Mining spill;3.36;;;0.84;%;Sandy ;10;%;75%;;;;16.48;meq 100 g-1;1;mg g-1;Total;2.5;ug g-1;Total;;0.055;12;125;200;;;;;;;ug g-1;2;DTPA available;;Sunflower;Helianthus annus;;30;plants/pot;40.17762625;;58.01423397;15.22693373;g ;;7.5;12.7;58;445; ;;;;;;ug g;2;leaves;;8.7;24;211;273;;;;;;;ug g;2;roots;;6.9;15;21;262;;;;;;;ug g;2;shoots;;6.3;8.4;18;171;;;;;;;ug g;2;flowers;;;;;;;;;;;;;;;
2187;Herrero;2003;Spain;Monteprincipe;40°25'N;3°51′W;Mediterranean;;;;;High level;Mining spill;3.36;;;0.84;%;Sandy ;10;%;75%;;;;16.48;meq 100 g-1;1;mg g-1;Total;2.5;ug g-1;Total;;0.135;25;350;400;;;;;;;ug g-1;2;DTPA available;;Sunflower;Helianthus annus;;30;plants/pot;16.756531;;23.90743661;11.9422118;g ;;7.8;22;49;3601; ;;;;;;ug g;2;leaves;;9;135;135;1805;;;;;;;ug g;2;roots;;7.6;21;17;1419;;;;;;;ug g;2;shoots;;8;15;21;897;;;;;;;ug g;2;flowers;;;;;;;;;;;;;;;
4254;Ho;2014;Taiwan;Taoyuan;;;Humid subtropical;25.09;;;;103;Woodland;5.57;;;1.82;%;Clay;;;;;29.72;uS cm;12.17;cmolc/kg;;;;;;;;4.28;28.04;;;;;;;43.22;;mg kg;3;Total;;Camphor trees;Cinnamomum camphora;;606;stems/acre;;48.8;;;kg;;6.331760972;14.9841076; ; ; ;;;;7.627558249;;mg kg;3;leaves;;11.5253353;9.300300431;;;;;;;11.48623613;;mg kg;3;roots;;10.6566963;11.38677233;;;;;;;9.025086637;;mg kg;3;branch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4254;Ho;2014;Taiwan;Taoyuan;;;Humid subtropical;25.06;;;;152;Woodland;5.84;;;1.58;%;Clay;;;;;28.44;uS cm;10.88;cmolc/kg;;;;;;;;3.17;18.71;;;;;;;33.71;;mg kg;3;Total;;Camphor trees;Cinnamomum camphora;;2204;stems/acre;;25.9;;;kg;;6.267417342;18.2296338; ; ; ;;;;5.334670125;;mg kg;3;leaves;;9.101145577;11.60012191;;;;;;;15.00316035;;mg kg;3;roots;;8.728995935;14.46858536;;;;;;;13.5777337;;mg kg;3;branch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4254;Ho;2014;Taiwan;Taoyuan;;;Humid subtropical;25.23;;;;162;Woodland;5.68;;;1.28;%;Clay;;;;;24.55;uS cm;12.93;cmolc/kg;;;;;;;;2.13;18.33;;;;;;;36.77;;mg kg;3;Total;;Camphor trees;Cinnamomum camphora;;;;;36;;;kg;;1.725104884;12.2297209; ; ; ;;;;4.507312395;;mg kg;3;leaves;;5.471817055;9.550224235;;;;;;;22.9402149;;mg kg;3;roots;;3.435428124;9.834980624;;;;;;;17.33440858;;mg kg;3;branch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4254;Ho;2014;Taiwan;Taoyuan;;;Humid subtropical;25.12;;;;128;Woodland;5.66;;;1.63;%;Clay;;;;;28.09;uS cm;12.09;cmolc/kg;;;;;;;;1.21;17.66;;;;;;;41.63;;mg kg;3;Total;;Camphor trees;Cinnamomum camphora;;128;stems/acre;;47.8;;;kg;;1.524248419;10.5246658; ; ; ;;;;2.446328546;;mg kg;3;leaves;;3.64237115;6.783646101;;;;;;;7.82546152;;mg kg;3;roots;;2.337238876;8.032394305;;;;;;;5.305028225;;mg kg;3;branch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd0 Cu0;Farmland;7.45;2.43;%;;;Clay loam;;;;;;;;;;;;;;;;0;21.95136794;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;4.198263149;g/plant;;0.061237637;1.460309092; ; ; ;;;;;;mg kg-1;6;shoot;;0;1.322121433;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd0 Cu20;Farmland;7.4;2.54;%;;;Clay loam;;;;;;;;;;;;;;;;0;35.07437384;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;4.42151401;g/plant;;0.063511312;1.73157149; ; ; ;;;;;;mg kg-1;6;shoot;;0;2.357015163;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd0 Cu200;Farmland;7.36;2.47;%;;;Clay loam;;;;;;;;;;;;;;;;0;190.4552844;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;4.836228085;g/plant;;0.041532457;1.932645731; ; ; ;;;;;;mg kg-1;6;shoot;;0.083620112;4.073230484;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd0 Cu400;Farmland;7.41;2.23;%;;;Clay loam;;;;;;;;;;;;;;;;0;276.5915828;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;3.639603474;g/plant;;0.103755353;2.06827693; ; ; ;;;;;;mg kg-1;6;shoot;;0.19651505;6.993776071;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd0.2 Cu0;Farmland;7.42;2.39;%;;;Clay loam;;;;;;;;;;;;;;;;0.235422099;21.79053613;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;3.786744224;g/plant;;0.048580848;1.594358586; ; ; ;;;;;;mg kg-1;6;shoot;;0.202821595;1.677679931;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd0.2 Cu20;Farmland;7.51;2.51;%;;;Clay loam;;;;;;;;;;;;;;;;0.279309429;37.77808688;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;3.88718663;g/plant;;0.190685513;2.06195011; ; ; ;;;;;;mg kg-1;6;shoot;;0.118890048;2.229888102;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd0.2 Cu200;Farmland;7.34;2.38;%;;;Clay loam;;;;;;;;;;;;;;;;0.25140755;194.0674798;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;3.164263477;g/plant;;0.139452044;2.070056348; ; ; ;;;;;;mg kg-1;6;shoot;;0.198227939;4.194001192;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd0.2 Cu400;Farmland;7.54;2.12;%;;;Clay loam;;;;;;;;;;;;;;;;0.177874475;324.2847331;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;2.286006882;g/plant;;0.089734359;2.511549741; ; ; ;;;;;;mg kg-1;6;shoot;;0.122782977;4.45143349;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd2.0 Cu0;Farmland;7.4;2.08;%;;;Clay loam;;;;;;;;;;;;;;;;2.31730913;21.61231711;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;2.816483697;g/plant;;0.360983743;1.607803078; ; ; ;;;;;;mg kg-1;6;shoot;;0.777807191;1.526319274;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd2.0 Cu20;Farmland;7.52;2.22;%;;;Clay loam;;;;;;;;;;;;;;;;1.679053661;38.61267355;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;2.040062264;g/plant;;0.192504453;1.966850101; ; ; ;;;;;;mg kg-1;6;shoot;;0.969962161;1.775011587;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd2.0 Cu200;Farmland;7.27;2.26;%;;;Clay loam;;;;;;;;;;;;;;;;1.467173772;159.8146522;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;1.501310831;g/plant;;0.170601387;2.424951396; ; ; ;;;;;;mg kg-1;6;shoot;;0.652999891;5.15639277;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd2.0 Cu400;Farmland;7.46;2.36;%;;;Clay loam;;;;;;;;;;;;;;;;1.80374018;295.6784059;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;1.277322628;g/plant;;0.136572057;2.314627476; ; ; ;;;;;;mg kg-1;6;shoot;;0.380884162;4.047209164;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd20 Cu0;Farmland;7.38;2.04;%;;;Clay loam;;;;;;;;;;;;;;;;18.3289183;22.58165474;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;1.865230215;g/plant;;0.487248475;1.615909316; ; ; ;;;;;;mg kg-1;6;shoot;;1.910182345;2.216579488;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd20 Cu20;Farmland;7.12;2.51;%;;;Clay loam;;;;;;;;;;;;;;;;17.99206125;35.96981578;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;1.117728986;g/plant;;0.897949903;1.855735328; ; ; ;;;;;;mg kg-1;6;shoot;;3.3216805;2.604515659;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd20 Cu200;Farmland;7.35;2.08;%;;;Clay loam;;;;;;;;;;;;;;;;17.1654681;187.7081033;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;1.085203998;g/plant;;0.589184888;2.146571325; ; ; ;;;;;;mg kg-1;6;shoot;;1.863622915;3.578030855;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd20 Cu400;Farmland;7.39;2.2;%;;;Clay loam;;;;;;;;;;;;;;;;19.28281377;312.2745095;;;;;;;;;mg kg-1;3;Total;Available EDTA;Carrot;Daucus carota;;;;;;;0.912256267;g/plant;;0.546060859;2.452235806; ; ; ;;;;;;mg kg-1;6;shoot;;1.281318613;3.324968549;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd0 Cu0;Farmland;7.45;2.43;%;;;Clay loam;;;;;;;;;;;;;;;;0;21.95136794;;;;;;;;;mg kg-1;3;Total;Available EDTA;Pakchoi;Brassica rapa;;;;0.803943299;;;;g/plant;;0;0.101108682; ; ; ;;;;;;mg kg-1;6;shoot;;0.151699392;0.356732528;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2605;Hou;2018;China;Changchun;"44°0'11.8""N";"125°23'58""E";Humid continental;24;;;;Cd0 Cu20;Farmland;7.4;2.54;%;;;Clay loam;;;;;;;;;;;;;;;;0;35.07437384;;;;;;;;;mg kg-1;3;Total;Available EDTA;Pakchoi;Brassica rapa;;;;0.702116727;;;;g/plant;;0;0.329793879; ; ; ;;;;;;mg kg-1;6;shoot;;0.165055317;0.559056132;;;;;;;;;mg kg-1;6;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
